Year,Country,AI_Inv_$B,Emp_Rate%
2015,Netherlands,69.06,73.11
2016,Netherlands,78.81,72.61
2017,Netherlands,88.31,72.19
2018,Netherlands,97.23,72.39
2019,Netherlands,103.15,71.49
2020,Netherlands,112.41,72.09
2021,Netherlands,122.43,70.51
2022,Netherlands,130.61,70.53
2023,Netherlands,136.76,70.56
2024,Netherlands,147.66,71.22
2025,Netherlands,156.46,70.09
2015,Sweden,24.97,71.23
2016,Sweden,29.75,70.97
2017,Sweden,32.73,70.71
2018,Sweden,35.29,69.96
2019,Sweden,38.4,70.1
2020,Sweden,40.72,69.15
2021,Sweden,42.55,69.38
2022,Sweden,46.38,68.2
2023,Sweden,48.09,68.59
2024,Sweden,49.87,67.64
2025,Sweden,53.78,67.63
2015,Turkey,34.22,79.95
2016,Turkey,39.11,79.71
2017,Turkey,45.22,79.15
2018,Turkey,47.53,78.57
2019,Turkey,50.6,78.68
2020,Turkey,57.44,78.46
2021,Turkey,61.39,77.77
2022,Turkey,63.27,78.07
2023,Turkey,68.03,77.1
2024,Turkey,73.14,75.96
2025,Turkey,77.49,77.22
2015,Singapore,12.36,75.84
2016,Singapore,14.46,75.59
2017,Singapore,18.25,74.96
2018,Singapore,19.26,75.04
2019,Singapore,20.69,74.05
2020,Singapore,21.5,73.74
2021,Singapore,23.12,72.86
2022,Singapore,25.1,74.17
2023,Singapore,24.69,73.7
2024,Singapore,26.44,71.67
2025,Singapore,29.32,72.45
2015,Spain,78.51,79.42
2016,Spain,88.87,78.92
2017,Spain,97.2,78.94
2018,Spain,108.62,78.46
2019,Spain,119.94,78.37
2020,Spain,128.69,78.3
2021,Spain,137.66,77.98
2022,Spain,146.26,77.25
2023,Spain,158.09,77.07
2024,Spain,164.4,75.51
2025,Spain,177.29,76.99
2015,Italy,57.38,65.34
2016,Italy,62.66,65.03
2017,Italy,67.68,64.48
2018,Italy,78.24,63.87
2019,Italy,81.67,63.65
2020,Italy,91.37,63.16
2021,Italy,96.39,62.95
2022,Italy,101.88,62.86
2023,Italy,111.84,62.89
2024,Italy,115.44,61.75
2025,Italy,123.94,61.4
2015,"South Africa",40.95,77.52
2016,"South Africa",43.2,77.19
2017,"South Africa",49.94,76.95
2018,"South Africa",54.19,76.76
2019,"South Africa",56.29,75.74
2020,"South Africa",61.64,75.48
2021,"South Africa",65.17,75.01
2022,"South Africa",72.28,75.37
2023,"South Africa",77.48,73.62
2024,"South Africa",80.98,73.32
2025,"South Africa",86.34,73.13
2015,Mexico,73.69,65.97
2016,Mexico,80.49,65.53
2017,Mexico,89.43,65.21
2018,Mexico,100.43,65.26
2019,Mexico,108.04,65.14
2020,Mexico,116.55,63.66
2021,Mexico,127.24,63.98
2022,Mexico,136.15,62.56
2023,Mexico,143.04,63.29
2024,Mexico,154.4,62.73
2025,Mexico,161.26,61.78
