Year,AI_Investment_BillionUSD,Previous_Year_Investment,YoY_Change,YoY_Change_Perc,country
2025,159.76,150.85,8.91,5.91,China
2015,68.7,NULL,NULL,NULL,France
2016,75.74,68.7,7.04,10.25,France
2017,83.38,75.74,7.64,10.09,France
2018,90.25,83.38,6.87,8.24,France
2019,97.81,90.25,7.56,8.38,France
2020,106.95,97.81,9.14,9.34,France
2021,114.34,106.95,7.39,6.91,France
2022,125.54,114.34,11.2,9.8,France
2023,132.01,125.54,6.47,5.15,France
2024,138.94,132.01,6.93,5.25,France
2025,146.11,138.94,7.17,5.16,France
2015,66.89,NULL,NULL,NULL,Germany
2016,73.23,66.89,6.34,9.48,Germany
2017,81.69,73.23,8.46,11.55,Germany
2018,87.55,81.69,5.86,7.17,Germany
2019,96.84,87.55,9.29,10.61,Germany
2020,105.77,96.84,8.93,9.22,Germany
2021,112.85,105.77,7.08,6.69,Germany
2022,119.3,112.85,6.45,5.72,Germany
2023,127.26,119.3,7.96,6.67,Germany
2024,137.67,127.26,10.41,8.18,Germany
2025,145.56,137.67,7.89,5.73,Germany
2015,5.4,NULL,NULL,NULL,India
2016,7.13,5.4,1.73,32.04,India
2017,7.73,7.13,0.6,8.42,India
2018,8.29,7.73,0.56,7.24,India
2019,12,8.29,3.71,44.75,India
2020,9.86,12,-2.14,-17.83,India
2021,10.58,9.86,0.72,7.3,India
2022,14.33,10.58,3.75,35.44,India
2023,15.26,14.33,0.93,6.49,India
2024,12.66,15.26,-2.6,-17.04,India
2025,15.87,12.66,3.21,25.36,India
2015,57.38,NULL,NULL,NULL,Italy
2016,62.66,57.38,5.28,9.2,Italy
2017,67.68,62.66,5.02,8.01,Italy
2018,78.24,67.68,10.56,15.6,Italy
2019,81.67,78.24,3.43,4.38,Italy
2020,91.37,81.67,9.7,11.88,Italy
2021,96.39,91.37,5.02,5.49,Italy
2022,101.88,96.39,5.49,5.7,Italy
2023,111.84,101.88,9.96,9.78,Italy
2024,115.44,111.84,3.6,3.22,Italy
2025,123.94,115.44,8.5,7.36,Italy
2015,76.35,NULL,NULL,NULL,Japan
2016,86.7,76.35,10.35,13.56,Japan
2017,94.99,86.7,8.29,9.56,Japan
2018,102.73,94.99,7.74,8.15,Japan
2019,114.9,102.73,12.17,11.85,Japan
2020,120.91,114.9,6.01,5.23,Japan
2021,133.93,120.91,13.02,10.77,Japan
2022,143.17,133.93,9.24,6.9,Japan
2023,148.69,143.17,5.52,3.86,Japan
2024,160.06,148.69,11.37,7.65,Japan
2025,169.68,160.06,9.62,6.01,Japan
2015,73.69,NULL,NULL,NULL,Mexico
2016,80.49,73.69,6.8,9.23,Mexico
2017,89.43,80.49,8.94,11.11,Mexico
2018,100.43,89.43,11,12.3,Mexico
2019,108.04,100.43,7.61,7.58,Mexico
2020,116.55,108.04,8.51,7.88,Mexico
2021,127.24,116.55,10.69,9.17,Mexico
2022,136.15,127.24,8.91,7,Mexico
2023,143.04,136.15,6.89,5.06,Mexico
2024,154.4,143.04,11.36,7.94,Mexico
2025,161.26,154.4,6.86,4.44,Mexico
2015,69.06,NULL,NULL,NULL,Netherlands
2016,78.81,69.06,9.75,14.12,Netherlands
2017,88.31,78.81,9.5,12.05,Netherlands
2018,97.23,88.31,8.92,10.1,Netherlands
2019,103.15,97.23,5.92,6.09,Netherlands
2020,112.41,103.15,9.26,8.98,Netherlands
2021,122.43,112.41,10.02,8.91,Netherlands
2022,130.61,122.43,8.18,6.68,Netherlands
2023,136.76,130.61,6.15,4.71,Netherlands
2024,147.66,136.76,10.9,7.97,Netherlands
2025,156.46,147.66,8.8,5.96,Netherlands
2015,20.54,NULL,NULL,NULL,Russia
2016,25.46,20.54,4.92,23.95,Russia
2017,28.23,25.46,2.77,10.88,Russia
2018,30.87,28.23,2.64,9.35,Russia
2019,33.61,30.87,2.74,8.88,Russia
2020,36.79,33.61,3.18,9.46,Russia
2021,38.61,36.79,1.82,4.95,Russia
2022,41.85,38.61,3.24,8.39,Russia
2023,41.74,41.85,-0.11,-0.26,Russia
2024,47.13,41.74,5.39,12.91,Russia
2025,47.89,47.13,0.76,1.61,Russia
2015,12.36,NULL,NULL,NULL,Singapore
2016,14.46,12.36,2.1,16.99,Singapore
2017,18.25,14.46,3.79,26.21,Singapore
2018,19.26,18.25,1.01,5.53,Singapore
2019,20.69,19.26,1.43,7.42,Singapore
2020,21.5,20.69,0.81,3.91,Singapore
2021,23.12,21.5,1.62,7.53,Singapore
2022,25.1,23.12,1.98,8.56,Singapore
2023,24.69,25.1,-0.41,-1.63,Singapore
2024,26.44,24.69,1.75,7.09,Singapore
2025,29.32,26.44,2.88,10.89,Singapore
2015,40.95,NULL,NULL,NULL,"South Africa"
2016,43.2,40.95,2.25,5.49,"South Africa"
2017,49.94,43.2,6.74,15.6,"South Africa"
2018,54.19,49.94,4.25,8.51,"South Africa"
2019,56.29,54.19,2.1,3.88,"South Africa"
2020,61.64,56.29,5.35,9.5,"South Africa"
2021,65.17,61.64,3.53,5.73,"South Africa"
2022,72.28,65.17,7.11,10.91,"South Africa"
2023,77.48,72.28,5.2,7.19,"South Africa"
2024,80.98,77.48,3.5,4.52,"South Africa"
2025,86.34,80.98,5.36,6.62,"South Africa"
2015,63.72,NULL,NULL,NULL,"South Korea"
2016,75.28,63.72,11.56,18.14,"South Korea"
2017,83.25,75.28,7.97,10.59,"South Korea"
2018,90.94,83.25,7.69,9.24,"South Korea"
2019,97.07,90.94,6.13,6.74,"South Korea"
2020,105.88,97.07,8.81,9.08,"South Korea"
2021,112.78,105.88,6.9,6.52,"South Korea"
2022,120.55,112.78,7.77,6.89,"South Korea"
2023,126.96,120.55,6.41,5.32,"South Korea"
2024,136.98,126.96,10.02,7.89,"South Korea"
2025,143,136.98,6.02,4.39,"South Korea"
2015,78.51,NULL,NULL,NULL,Spain
2016,88.87,78.51,10.36,13.2,Spain
2017,97.2,88.87,8.33,9.37,Spain
2018,108.62,97.2,11.42,11.75,Spain
2019,119.94,108.62,11.32,10.42,Spain
2020,128.69,119.94,8.75,7.3,Spain
2021,137.66,128.69,8.97,6.97,Spain
2022,146.26,137.66,8.6,6.25,Spain
2023,158.09,146.26,11.83,8.09,Spain
2024,164.4,158.09,6.31,3.99,Spain
2025,177.29,164.4,12.89,7.84,Spain
2015,24.97,NULL,NULL,NULL,Sweden
2016,29.75,24.97,4.78,19.14,Sweden
2017,32.73,29.75,2.98,10.02,Sweden
2018,35.29,32.73,2.56,7.82,Sweden
2019,38.4,35.29,3.11,8.81,Sweden
2020,40.72,38.4,2.32,6.04,Sweden
2021,42.55,40.72,1.83,4.49,Sweden
2022,46.38,42.55,3.83,9,Sweden
2023,48.09,46.38,1.71,3.69,Sweden
2024,49.87,48.09,1.78,3.7,Sweden
2025,53.78,49.87,3.91,7.84,Sweden
2015,34.22,NULL,NULL,NULL,Turkey
2016,39.11,34.22,4.89,14.29,Turkey
2017,45.22,39.11,6.11,15.62,Turkey
2018,47.53,45.22,2.31,5.11,Turkey
2019,50.6,47.53,3.07,6.46,Turkey
2020,57.44,50.6,6.84,13.52,Turkey
2021,61.39,57.44,3.95,6.88,Turkey
2022,63.27,61.39,1.88,3.06,Turkey
2023,68.03,63.27,4.76,7.52,Turkey
2024,73.14,68.03,5.11,7.51,Turkey
2025,77.49,73.14,4.35,5.95,Turkey
2015,21.49,NULL,NULL,NULL,"United Kingdom"
2016,23.01,21.49,1.52,7.07,"United Kingdom"
2017,28.06,23.01,5.05,21.95,"United Kingdom"
2018,29.9,28.06,1.84,6.56,"United Kingdom"
2019,31.16,29.9,1.26,4.21,"United Kingdom"
2020,36.92,31.16,5.76,18.49,"United Kingdom"
2021,36.44,36.92,-0.48,-1.3,"United Kingdom"
2022,41.53,36.44,5.09,13.97,"United Kingdom"
2023,43.15,41.53,1.62,3.9,"United Kingdom"
2024,47.68,43.15,4.53,10.5,"United Kingdom"
2025,50.34,47.68,2.66,5.58,"United Kingdom"
2015,52.46,NULL,NULL,NULL,"United States"
2016,60.64,52.46,8.18,15.59,"United States"
2017,66.11,60.64,5.47,9.02,"United States"
2018,72.45,66.11,6.34,9.59,"United States"
2019,79.11,72.45,6.66,9.19,"United States"
2020,84.92,79.11,5.81,7.34,"United States"
2021,89.44,84.92,4.52,5.32,"United States"
2022,96,89.44,6.56,7.33,"United States"
2023,104.62,96,8.62,8.98,"United States"
2024,111.07,104.62,6.45,6.17,"United States"
2025,117.59,111.07,6.52,5.87,"United States"
